Código;Descrição;Cor;Grade;Preço Venda
488338;JAQUETA INFANTIL NYLON DET ZIPER C/ CINTO;003-VERMELHO;02/04/06/08/10/12/14/Erro/01/16/18/3/6;259,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;002-PRETO;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;002-PRETO;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;002-PRETO;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;002-PRETO;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;002-PRETO;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;002-PRETO;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471147;SAPATO BICO FINO NAPA SALTO FINO BAIXO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;199,9
471457;SANDALIA EM VERNIZ TIRA SALTO FINO MEDIO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;169,9
471457;SANDALIA EM VERNIZ TIRA SALTO FINO MEDIO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;169,9
471457;SANDALIA EM VERNIZ TIRA SALTO FINO MEDIO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;169,9
476149;SANDALIA FEM.TIRA CONFORT DET SALTO BOLA;047-MARFIM;34/35/36/37/38/39/40/41/42/33/Erro;149,9
477333;SANDALIA TIRA LARGA EM VERNIZ SALTO ALTO;051-PRETO VERNIZ;34/35/36/37/38/39/40/41/42/33/Erro;129,9
477333;SANDALIA TIRA LARGA EM VERNIZ SALTO ALTO;053-BEGE VERNIZ;34/35/36/37/38/39/40/41/42/33/Erro;129,9
477333;SANDALIA TIRA LARGA EM VERNIZ SALTO ALTO;051-PRETO VERNIZ;34/35/36/37/38/39/40/41/42/33/Erro;129,9
477333;SANDALIA TIRA LARGA EM VERNIZ SALTO ALTO;053-BEGE VERNIZ;34/35/36/37/38/39/40/41/42/33/Erro;129,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;009-MARROM;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;002-PRETO;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;009-MARROM;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;009-MARROM;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;008-BEGE;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;009-MARROM;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;009-MARROM;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;009-MARROM;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;002-PRETO;34/35/36/37/38/39/40/41/42/33/Erro;169,9
479774;SANDALIA NAPA TOP SALTO MEDIO GROSSO;009-MARROM;34/35/36/37/38/39/40/41/42/33/Erro;169,9
