Código*;Descrição*
0;ACESSORIOS
0;TRICOLOR
1;BRANCO
2;PRETO
3;VERMELHO
4;AMARELO
5;ROSA
6;LARANJA
7;AZUL
8;BEGE
9;MARROM
10;VERDE
11;ROXO
12;CINZA
13;PRATA
14;OURO
15;ESTAMPADO
16;JEANS ESCURO
17;JEANS CLARO
18;JEANS ESVERDEADO
19;JEANS SUJO
20;LISTRADO
21;BIJOUTERIA
22;VINHO
23;BICOLOR
26;BIJOUTERIA - JP
28;BRONZE -JP
29;FERRUGEM - JP
31;VINHO - JP
32;LISTRADO - JP
36;BICOLOR - JP
38;MARROM - JP
39;COR - JP
40;SALMON
41;BEGE ESCURO
42;XADREZ
43;BEGE CLARO
44;CAQUI
45;LILÁS
46;TRICOLOR
47;MARFIM
48;ROSÊ
50;CORAL
51;PRETO VERNIZ
52;PRETO FOSCO
53;BEGE VERNIZ
54;BEGE FOSCO
55;ROSÊ VERNIZ
56;INCOLOR
30;VINHO - JP
31;PRETO VERNIZ
32;PRETO FOSCO
33;BEGE VERNIZ
34;BEGE FOSCO
35;ROSÊ VERNIZ
